"Address","Suffix","Street","Side","On Street","Site ID","X","Y","Latitude","Longitude","Species","DBH","Park Name","Multi-Stem"
2028,"","Alameda Ave","Front","Alameda Ave",159,873263.275856349,1015017.52159991,38.6210135302,-90.3142969534,"Cypress, Bald (Taxodium distichum)",17," N/A","No"
2030,"","Alameda Ave","Front","Alameda Ave",153,873256.497739357,1014966.6527019,38.6208738861,-90.3143210382,"Redbud, Eastern (Cercis canadensis)",7," N/A","No"
2031,"","Alameda Ave","Front","Alameda Ave",170,873226.434222693,1014968.75596087,38.6208798284,-90.314426251,"Ash, White (Fraxinus americana)",34," N/A","No"
2031,"","Alameda Ave","Front","Alameda Ave",177,873226.469221263,1014951.44360685,38.62083229,-90.314426251,"Pear, Callery 'Bradford' (Pyrus calleryana 'Bradford')",21," N/A","No"
2032,"","Alameda Ave","Front","Alameda Ave",162,873249.012055923,1014907.48672482,38.6207114629,-90.3143476583,"Redbud, Eastern (Cercis canadensis)",4," N/A","No"
2032,"","Alameda Ave","Front","Alameda Ave",167,873251.867743713,1014928.05103791,38.6207679149,-90.3143375173,"Redbud, Eastern (Cercis canadensis)",2," N/A","No"
2033,"","Alameda Ave","Front","Alameda Ave",183,873220.366497096,1014924.74125445,38.6207590014,-90.3144478005,"Redbud, Eastern (Cercis canadensis)",2," N/A","No"
2033,"","Alameda Ave","Front","Alameda Ave",187,873219.329596637,1014900.21317932,38.6206916551,-90.3144516034,"Maple, Red (Acer rubrum)",8," N/A","No"
2037,"","Alameda Ave","Front","Alameda Ave",193,873215.39177729,1014877.48260138,38.6206292607,-90.3144655473,"Hackberry, Northern (Celtis occidentalis)",13," N/A","No"
2101,"","Alameda Ave","Front","Alameda Ave",196,873207.19769015,1014810.38010076,38.6204450484,-90.3144947026,"Sycamore, American (Platanus occidentalis)",42," N/A","No"
2101,"","Alameda Ave","Front","Alameda Ave",201,873205.801527453,1014784.40848259,38.6203737403,-90.314499773,"Sycamore, American (Platanus occidentalis)",23," N/A","No"
2107,"","Alameda Ave","Front","Alameda Ave",204,873199.02032145,1014734.98186037,38.6202380565,-90.3145238579,"Maple, Sugar (Acer saccharum)",16," N/A","No"
2118,"","Alameda Ave","Front","Alameda Ave",188,873189.029961419,1014375.64552355,38.6192514044,-90.3145613663,"Pear, Callery 'Bradford' (Pyrus calleryana 'Bradford')",17," N/A","No"
2118,"","Alameda Ave","Front","Alameda Ave",192,873191.616218986,1014359.87831887,38.6192080946,-90.3145524256,"Pear, Callery 'Bradford' (Pyrus calleryana 'Bradford')",13," N/A","No"
2118,"","Alameda Ave","Front","Alameda Ave",197,873187.558989034,1014345.11526138,38.619167579,-90.3145667307,"Pear, Callery 'Bradford' (Pyrus calleryana 'Bradford')",11," N/A","No"
2125,"","Alameda Ave","Front","Alameda Ave",163,873174.446363427,1014529.34460786,38.6196735302,-90.3146113239,"Sycamore, American (Platanus occidentalis)",37," N/A","No"
2125,"","Alameda Ave","Front","Alameda Ave",207,873178.709283928,1014570.47086336,38.6197864358,-90.3145961125,"Maple, Silver (Acer saccharinum)",16," N/A","No"
2125,"","Alameda Ave","Front","Alameda Ave",209,873179.818356354,1014559.29199542,38.6197557334,-90.3145923096,"Maple, Silver (Acer saccharinum)",13," N/A","No"
2137,"","Alameda Ave","Front","Alameda Ave",169,873162.425217244,1014394.92572655,38.6193044938,-90.3146543493,"Redbud, Eastern (Cercis canadensis)",12," N/A","No"
2143,"","Alameda Ave","Front","Alameda Ave",175,873157.910510298,1014353.70479107,38.6191913296,-90.3146704425,"Pine, Eastern White (Pinus strobus)",17," N/A","No"
2150,"","Alameda Ave","Front","Alameda Ave",189,873176.511784873,1014249.94933305,38.6189063226,-90.3146060697,"Oak, Northern Red (Quercus rubra)",23," N/A","No"
2203,"","Alameda Ave","Front","Alameda Ave",772,873128.7829799,1014112.76850069,38.6185299,-90.3147740933,"Dogwood, Flowering (Cornus florida)",3," N/A","No"
2206,"","Alameda Ave","Front","Alameda Ave",780,873152.134195174,1014049.85311622,38.6183570102,-90.314692807,"Lilac, Japanese Tree (Syringa reticulata)",2," N/A","Yes"
2207,"","Alameda Ave","Side","Richmond Pl",758,873021.894913323,1014012.75526215,38.6182558635,-90.3151489133,"Apple (Malus species)",2," N/A","No"
2207,"","Alameda Ave","Side","Richmond Pl",765,873076.95179683,1014009.43964271,38.6182464545,-90.3149562348,"Maple, Freeman (Acer x freemanii)",4," N/A","No"
2208,"","Alameda Ave","Front","Alameda Ave",790,873147.867137996,1014033.14013844,38.6183111414,-90.31470786,"Pear, Callery (Pyrus calleryana)",20," N/A","No"
2208,"","Alameda Ave","Front","Alameda Ave",798,873147.042427428,1014015.57746368,38.6182629203,-90.3147108706,"Pear, Callery (Pyrus calleryana)",15," N/A","No"
2208,"","Alameda Ave","Side","Richmond Pl",805,873210.747620717,1013989.15042592,38.6181900005,-90.314488086,"Pear, Callery (Pyrus calleryana)",14," N/A","No"
2208,"","Alameda Ave","Side","Richmond Pl",812,873228.810045121,1013989.61525065,38.6181911767,-90.3144248634,"Pear, Callery (Pyrus calleryana)",15," N/A","No"
7535,"","Alicia Ave","Front","Alicia Ave",222,870877.447117202,1014823.4610416,38.6204936113,-90.3226491116,"Tulip Tree (Liriodendron tulipifera)",32," N/A","No"
7535,"","Alicia Ave","Front","Alicia Ave",225,870861.261977585,1014824.01587726,38.6204952207,-90.3227057585,"Pear, Callery (Pyrus calleryana)",20," N/A","No"
7538,"","Alicia Ave","Front","Alicia Ave",293,870807.179635615,1014792.55509184,38.6204091186,-90.3228952679,"Dogwood, Kousa (Cornus kousa)",2," N/A","No"
7544,"","Alicia Ave","Front","Alicia Ave",288,870761.574060306,1014790.41579018,38.6204034858,-90.323054909,"Pear, Callery (Pyrus calleryana)",11," N/A","No"
7548,"","Alicia Ave","Front","Alicia Ave",277,870730.969276852,1014791.52901935,38.6204067046,-90.3231620231,"Pear, Callery (Pyrus calleryana)",20," N/A","No"
7548,"","Alicia Ave","Front","Alicia Ave",283,870747.15669222,1014789.80190471,38.6204018764,-90.3231053762,"Pear, Callery (Pyrus calleryana)",22," N/A","No"
7552,"","Alicia Ave","Front","Alicia Ave",272,870693.897655073,1014789.11322608,38.620400267,-90.3232917959,"Birch, River (Betula nigra)",8," N/A","No"
7553,"","Alicia Ave","Front","Alicia Ave",228,870648.51640564,1014823.31280545,38.620494416,-90.3234504072,"Elm, Siberian (Ulmus pumila)",12," N/A","No"
7600,"","Alicia Ave","Front","Alicia Ave",262,870520.866719234,1014793.46951008,38.6204131421,-90.3238974022,"Poplar, White (Populus alba)",14," N/A","No"
7600,"","Alicia Ave","Front","Alicia Ave",267,870538.226077633,1014794.38196947,38.6204155561,-90.3238366355,"Poplar, White (Populus alba)",12," N/A","No"
7603,"","Alicia Ave","Front","Alicia Ave",231,870475.492970329,1014823.85975548,38.6204968301,-90.3240560136,"Redbud, Eastern (Cercis canadensis)",8," N/A","No"
7603,"","Alicia Ave","Front","Alicia Ave",235,870462.83777353,1014825.00770321,38.6205000488,-90.3241003011,"Redbud, Eastern (Cercis canadensis)",4," N/A","No"
7611,"","Alicia Ave","Front","Alicia Ave",239,870398.396022556,1014824.88429955,38.6205000488,-90.3243258586,"Pear, Callery (Pyrus calleryana)",18," N/A","No"
7616,"","Alicia Ave","Front","Alicia Ave",253,870386.984054706,1014791.45470841,38.6204083139,-90.3243660262,"Tulip Tree (Liriodendron tulipifera)",14," N/A","No"
7616,"","Alicia Ave","Front","Alicia Ave",257,870403.751543356,1014794.12424932,38.6204155561,-90.3243073194,"Tulip Tree (Liriodendron tulipifera)",12," N/A","No"
7626,"","Alicia Ave","Front","Alicia Ave",249,870260.456048812,1014790.33377683,38.6204058998,-90.3248089017,"Serviceberry (Amelanchier species)",6," N/A","No"
7630,"","Alicia Ave","Front","Alicia Ave",242,870205.132750298,1014791.98655531,38.620410728,-90.3250025309,"Dogwood, Kousa (Cornus kousa)",1," N/A","Yes"
7630,"","Alicia Ave","Front","Alicia Ave",245,870219.846059867,1014791.72155782,38.6204099233,-90.3249510338,"Tulip Tree (Liriodendron tulipifera)",12," N/A","No"
7634,"","Alicia Ave","Front","Alicia Ave",238,870172.765815273,1014791.33877127,38.6204091186,-90.3251158247,"Pear, Callery (Pyrus calleryana)",10," N/A","No"
7638,"","Alicia Ave","Front","Alicia Ave",230,870135.100056857,1014791.85314126,38.620410728,-90.3252476573,"Maple, Sugar (Acer saccharum)",10," N/A","No"
7638,"","Alicia Ave","Front","Alicia Ave",234,870155.701256485,1014790.13406471,38.6204058998,-90.3251755613,"Pear, Callery (Pyrus calleryana)",6," N/A","No"
7639,"","Alicia Ave","Front","Alicia Ave",243,870135.331811492,1014824.67522027,38.6205008535,-90.3252466275,"Redbud, Eastern (Cercis canadensis)",8," N/A","No"
7639,"","Alicia Ave","Front","Alicia Ave",247,870119.737988385,1014823.76638849,38.6204984394,-90.3253012144,"Redbud, Eastern (Cercis canadensis)",11," N/A","No"
7643,"","Alicia Ave","Front","Alicia Ave",251,870095.606876907,1014824.8926759,38.6205016582,-90.3253856698,"Redbud, Eastern (Cercis canadensis)",10," N/A","No"
7643,"","Alicia Ave","Front","Alicia Ave",255,870088.546437571,1014824.00009621,38.6204992441,-90.3254103884,"Dogwood, Flowering (Cornus florida)",1," N/A","No"
7643,"","Alicia Ave","Front","Alicia Ave",258,870074.422771495,1014823.68018779,38.6204984394,-90.3254598256,"Redbud, Eastern (Cercis canadensis)",12," N/A","No"
7644,"","Alicia Ave","Front","Alicia Ave",227,870046.824666598,1014791.09913988,38.6204091186,-90.3255566402,"Coffeetree, Kentucky (Gymnocladus dioicus)",3," N/A","No"
7781,"","Alicia Ct","Front","Alicia Ct",70,869008.619526975,1014866.74641157,38.6206222009,-90.3291900304,"Oak, Pin (Quercus palustris)",31," N/A","No"
7788,"X","Alicia Ct","Median","Alicia Ct",81,868980.158367642,1014835.04409605,38.6205352943,-90.3292898556,"Dogwood, Flowering (Cornus florida)",4," N/A","Yes"
7215,"","Anna Ave","Front","Anna Ave",1563,873333.444781912,1011589.27886166,38.611599467,-90.3140756507,"Linden, Littleleaf (Tilia cordata)",17," N/A","No"
7215,"","Anna Ave","Front","Anna Ave",1573,873356.990441285,1011588.1542074,38.6115962479,-90.3139932552,"Linden, Littleleaf (Tilia cordata)",12," N/A","No"
3110,"","Bartold Ave","Front","Bartold Ave",2475,867838.178945254,1009818.89249042,38.6067670965,-90.333318848,"Sycamore, American (Platanus occidentalis)",38," N/A","No"
3110,"","Bartold Ave","Front","Bartold Ave",2477,867858.115959476,1009860.84272877,38.6068821894,-90.3332488119,"Oak, Pin (Quercus palustris)",26," N/A","No"
3116,"","Bartold Ave","Front","Bartold Ave",2481,867793.895896921,1009731.75969473,38.606528057,-90.3334743694,"Redcedar, Eastern (Juniperus virginiana)",16," N/A","No"
2001,"","Bellevue Ave","Front","Bellevue Ave",103,873569.52947693,1015300.84604283,38.621789809,-90.3132229911,"Redbud, Eastern (Cercis canadensis)",2," N/A","No"
2001,"","Bellevue Ave","Front","Bellevue Ave",108,873567.028161397,1015284.25008669,38.6217442518,-90.3132318645,"Redbud, Eastern (Cercis canadensis)",1," N/A","No"
2017,"","Bellevue Ave","Front","Bellevue Ave",113,873548.148734544,1015129.48331419,38.6213193809,-90.3132990485,"Redbud, Eastern (Cercis canadensis)",7," N/A","No"
2017,"","Bellevue Ave","Front","Bellevue Ave",118,873548.194215783,1015107.1216565,38.6212579774,-90.3132990485,"Redbud, Eastern (Cercis canadensis)",7," N/A","No"
2031,"","Bellevue Ave","Front","Bellevue Ave",124,873528.626149221,1014934.67934141,38.6207845746,-90.3133687677,"Maple, Red (Acer rubrum)",11," N/A","No"
2111,"","Bellevue Ave","Front","Bellevue Ave",128,873505.757462613,1014742.09563478,38.6202558836,-90.313450182,"Cherry, Yoshino (Prunus x yedoensis)",6," N/A","No"
2111,"","Bellevue Ave","Front","Bellevue Ave",168,873481.919072662,1014532.13148028,38.6196794726,-90.3135351126,"Corktree, Amur (Phellodendron amurense)",5," N/A","No"
2111,"","Bellevue Ave","Front","Bellevue Ave",176,873497.236355881,1014658.04009166,38.6200251217,-90.3134806049,"Cherry, Yoshino (Prunus x yedoensis)",6," N/A","No"
2114,"","Bellevue Ave","Front","Bellevue Ave",133,873528.008469888,1014585.92154556,38.6198269185,-90.3133734114,"Redbud, Eastern (Cercis canadensis)",4," N/A","No"
2130,"","Bellevue Ave","Front","Bellevue Ave",140,873498.88112399,1014316.45508828,38.6190871487,-90.3134772773,"Pear, Callery 'Bradford' (Pyrus calleryana 'Bradford')",19," N/A","No"
2133,"","Bellevue Ave","Front","Bellevue Ave",161,873469.101645564,1014423.54013049,38.6193813614,-90.313580747,"Cherry, Yoshino (Prunus x yedoensis)",12," N/A","No"
2138,"","Bellevue Ave","Front","Bellevue Ave",86,873486.165125902,1014224.77019241,38.6188354606,-90.3135224363,"Redbud, Eastern (Cercis canadensis)",9," N/A","No"
2138,"","Bellevue Ave","Front","Bellevue Ave",91,873484.496139709,1014199.49625728,38.6187660697,-90.3135284576,"Redbud, Eastern (Cercis canadensis)",4," N/A","No"
2138,"","Bellevue Ave","Front","Bellevue Ave",96,873479.399616396,1014167.79061151,38.6186790371,-90.3135465212,"Redbud, Eastern (Cercis canadensis)",4," N/A","No"
2138,"","Bellevue Ave","Front","Bellevue Ave",152,873487.407495285,1014248.32998199,38.6189001468,-90.3135179204,"Redbud, Eastern (Cercis canadensis)",9," N/A","No"
2138,"","Bellevue Ave","Side","Bruno Ave",101,873498.312180724,1014128.55927592,38.6185712056,-90.3134806048,"Redbud, Eastern (Cercis canadensis)",13," N/A","No"
2138,"","Bellevue Ave","Side","Bruno Ave",106,873517.512286427,1014126.07348531,38.6185642727,-90.3134134209,"Redbud, Eastern (Cercis canadensis)",6," N/A","No"
2138,"","Bellevue Ave","Side","Bruno Ave",111,873534.176476776,1014123.9432394,38.6185583302,-90.3133551103,"Redbud, Eastern (Cercis canadensis)",8," N/A","No"
2143,"","Bellevue Ave","Front","Bellevue Ave",149,873456.615521243,1014330.09775506,38.619124846,-90.3136251138,"Tupelo, Black (Nyssa sylvatica)",5," N/A","No"
2143,"","Bellevue Ave","Front","Bellevue Ave",156,873459.475505491,1014348.49844601,38.6191753569,-90.3136149728,"Corktree, Amur (Phellodendron amurense)",7," N/A","No"
2143,"","Bellevue Ave","Front","Bellevue Ave",157,873455.921943273,1014314.94760907,38.6190832489,-90.3136276491,"Cherry, Yoshino (Prunus x yedoensis)",12," N/A","No"
2200,"","Bellevue Ave","Side","Bruno Ave",139,873613.952867381,1014075.41275304,38.6184246238,-90.3130762335,"Oak, Pin (Quercus palustris)",25," N/A","No"
2200,"","Bellevue Ave","Side","Bruno Ave",146,873577.003448251,1014079.3051064,38.6184355184,-90.313205531,"Ash, White (Fraxinus americana)",20," N/A","No"
2200,"","Bellevue Ave","Side","Bruno Ave",151,873529.180142766,1014087.50365239,38.618458298,-90.3133728571,"Oak, Northern Red (Quercus rubra)",32," N/A","No"
2205,"","Bellevue Ave","Front","Bellevue Ave",1452,873444.329153509,1014052.86375013,38.618363653,-90.3136700868,"Plum (Prunus species)",7," N/A","No"
2301,"","Bellevue Ave","Front","Bellevue Ave",1462,873460.451639266,1013912.46894116,38.6179780507,-90.3136146549,"Plum (Prunus species)",8," N/A","No"
2311,"","Bellevue Ave","Front","Bellevue Ave",1472,873474.007549815,1013778.17376535,38.6176092117,-90.3135681632,"Hophornbeam, Eastern (Ostrya virginiana)",4," N/A","No"
2311,"","Bellevue Ave","Front","Bellevue Ave",1482,873478.146334543,1013752.7421719,38.6175393555,-90.3135538582,"Plum (Prunus species)",5," N/A","No"
2326,"","Bellevue Ave","Front","Bellevue Ave",1443,873521.101245045,1013749.45945896,38.6175301018,-90.3134035386,"Elm, Hybrid (Ulmus x)",9," N/A","No"
2328,"","Bellevue Ave","Front","Bellevue Ave",1434,873520.105628289,1013704.73158243,38.6174072884,-90.3134073415,"Maple, Freeman (Acer x freemanii)",1," N/A","No"
2330,"","Bellevue Ave","Front","Bellevue Ave",1423,873517.637112786,1013671.90351214,38.617317159,-90.3134162148,"Hornbeam, American (Carpinus caroliniana)",5," N/A","No"
2335,"","Bellevue Ave","Side","Gayola Pl",955,873395.780499654,1013637.06441025,38.617222173,-90.313842961,"Sycamore, American (Platanus occidentalis)",27," N/A","No"
2335,"","Bellevue Ave","Side","Gayola Pl",963,873384.545727944,1013640.64856644,38.6172320773,-90.3138822572,"Maple, Silver (Acer saccharinum)",30," N/A","No"
2400,"","Bellevue Ave","Front","Bellevue Ave",1279,873510.924164091,1013605.09967749,38.6171337586,-90.3134401854,"Hornbeam, American (Carpinus caroliniana)",8," N/A","No"
2401,"","Bellevue Ave","Front","Bellevue Ave",1492,873462.39863911,1013576.22271398,38.6170547355,-90.3136102297,"Plum (Prunus species)",7," N/A","No"
2402,"","Bellevue Ave","Front","Bellevue Ave",1288,873505.820590726,1013576.81989737,38.6170561332,-90.313458249,"Hornbeam, American (Carpinus caroliniana)",9," N/A","No"
2402,"","Bellevue Ave","Front","Bellevue Ave",1298,873504.142888967,1013555.82857409,38.6169985021,-90.3134642702,"Hornbeam, American (Carpinus caroliniana)",9," N/A","No"
2403,"","Bellevue Ave","Front","Bellevue Ave",1501,873454.394834608,1013493.53968492,38.6168277394,-90.3136388305,"Plum (Prunus species)",6," N/A","No"
2407,"","Bellevue Ave","Front","Bellevue Ave",1511,873447.19725271,1013437.41431538,38.6166736638,-90.3136644206,"Hophornbeam, Eastern (Ostrya virginiana)",4," N/A","No"
2412,"","Bellevue Ave","Front","Bellevue Ave",1307,873483.838069678,1013388.74007143,38.6165398041,-90.3135365247,"Plum (Prunus species)",2," N/A","No"
2509,"","Bellevue Ave","Front","Bellevue Ave",1263,873409.117472944,1013127.65492309,38.6158233021,-90.3137998977,"Plum (Prunus species)",6," N/A","No"
2510,"","Bellevue Ave","Front","Bellevue Ave",1317,873454.619326196,1013163.37943016,38.6159211452,-90.3136403905,"Hornbeam, American (Carpinus caroliniana)",4," N/A","No"
2516,"","Bellevue Ave","Front","Bellevue Ave",1326,873451.669543234,1013133.39023438,38.6158388138,-90.3136509276,"Plum (Prunus species)",2," N/A","No"
2604,"","Bellevue Ave","Front","Bellevue Ave",1302,873416.434395222,1012825.49596011,38.6149935576,-90.3137764341,"Hophornbeam, Eastern (Ostrya virginiana)",4," N/A","No"
2604,"","Bellevue Ave","Front","Bellevue Ave",1312,873423.618137476,1012855.0882973,38.6150747757,-90.3137510817,"Hackberry, Northern (Celtis occidentalis)",9," N/A","No"
2604,"","Bellevue Ave","Front","Bellevue Ave",1322,873424.651278926,1012881.42179001,38.6151470796,-90.3137472788,"Elm, Siberian (Ulmus pumila)",16," N/A","No"
2605,"","Bellevue Ave","Front","Bellevue Ave",1292,873381.304389016,1012844.89799241,38.6150470296,-90.3138992477,"Maple, Norway (Acer platanoides)",6," N/A","No"
7829,"","Bentley Dr","Side","Laclede Station Rd",573,868870.125220305,1013779.18066873,38.6176365402,-90.3296818465,"Ash, Green (Fraxinus pennsylvanica)",22," N/A","No"
7829,"","Bentley Dr","Side","Laclede Station Rd",583,868876.215167846,1013620.12666931,38.6171997597,-90.3296615645,"Maple, Red (Acer rubrum)",13," N/A","No"
7829,"","Bentley Dr","Side","Laclede Station Rd",590,868881.685292526,1013599.93798265,38.6171442953,-90.3296425502,"Ash, Green (Fraxinus pennsylvanica)",16," N/A","No"
2025,"","Bland Pl","Front","Bland Pl",214,870281.389545456,1015375.87962554,38.6220136505,-90.3247317179,"Tulip Tree (Liriodendron tulipifera)",8," N/A","No"
2027,"","Bland Pl","Front","Bland Pl",212,870279.069687422,1015357.99950499,38.6219645654,-90.3247399575,"Tulip Tree (Liriodendron tulipifera)",21," N/A","No"
2028,"","Bland Pl","Front","Bland Pl",403,870309.525034116,1015337.48645,38.6219080785,-90.3246334938,"Maple, Red (Acer rubrum)",9," N/A","No"
2028,"","Bland Pl","Front","Bland Pl",411,870312.363682474,1015368.14881292,38.6219922599,-90.3246233528,"Maple, Silver (Acer saccharinum)",16," N/A","No"
2028,"","Bland Pl","Front","Bland Pl",418,870317.025475764,1015392.32256305,38.6220586146,-90.3246068738,"Dogwood, Flowering (Cornus florida)",6," N/A","No"
2030,"","Bland Pl","Front","Bland Pl",395,870304.146485833,1015309.34389337,38.6218308296,-90.3246525081,"Tulip Tree (Liriodendron tulipifera)",7," N/A","No"
2035,"","Bland Pl","Front","Bland Pl",210,870253.48728626,1015194.72453504,38.6215163599,-90.3248305924,"Elm, Hybrid (Ulmus x)",5," N/A","No"
2036,"","Bland Pl","Front","Bland Pl",387,870294.535743057,1015221.68246685,38.621590169,-90.3246867339,"Redbud, Eastern (Cercis canadensis)",2," N/A","No"
2037,"","Bland Pl","Side","Williams Ave",237,870176.227070748,1015136.84961865,38.6213578447,-90.3251014056,"Pear, Callery (Pyrus calleryana)",14," N/A","No"
2040,"","Bland Pl","Front","Bland Pl",378,870284.841603022,1015177.66197454,38.6214693432,-90.3247209597,"Plum (Prunus species)",7," N/A","No"
2040,"","Bland Pl","Side","Williams Ave",340,870418.100410096,1015138.01737437,38.6213597828,-90.3242547916,"Elm, Siberian (Ulmus pumila)",28," N/A","No"
2040,"","Bland Pl","Side","Williams Ave",346,870395.895378173,1015138.17774967,38.6213603399,-90.3243325127,"Hornbeam, American (Carpinus caroliniana)",7," N/A","No"
2040,"","Bland Pl","Side","Williams Ave",355,870374.91494906,1015137.12321553,38.6213575544,-90.3244059556,"Hornbeam, American (Carpinus caroliniana)",13," N/A","No"
2040,"","Bland Pl","Side","Williams Ave",362,870322.558553367,1015138.24038605,38.621360897,-90.3245892062,"Hornbeam, American (Carpinus caroliniana)",12," N/A","No"
2040,"","Bland Pl","Side","Williams Ave",370,870305.655856211,1015135.36779359,38.6213530977,-90.3246483883,"Hornbeam, American (Carpinus caroliniana)",7," N/A","No"
2201,"","Blendon Pl","Side","Bruno Ave",185,874077.149865349,1014025.37090836,38.618284612,-90.3114553763,"Corktree, Amur (Phellodendron amurense)",9," N/A","No"
2201,"","Blendon Pl","Side","Bruno Ave",191,874120.584578038,1014020.88099926,38.6182720381,-90.3113033848,"Corktree, Amur (Phellodendron amurense)",15," N/A","No"
2201,"","Blendon Pl","Side","Bruno Ave",205,874206.874028151,1014045.48064097,38.6183390992,-90.3110011901,"Maple, Sugar (Acer saccharum)",10," N/A","No"
2209,"","Blendon Pl","Front","Blendon Pl",195,874157.644653536,1013886.63500828,38.6179032005,-90.3111746391,"Hornbeam, American (Carpinus caroliniana)",8," N/A","No"
2209,"","Blendon Pl","Front","Blendon Pl",199,874155.129976951,1013867.29552657,38.6178501101,-90.3111835798,"Hornbeam, American (Carpinus caroliniana)",12," N/A","No"
2209,"","Blendon Pl","Front","Blendon Pl",202,874190.420061025,1013848.54260892,38.6177984168,-90.3110601985,"Tulip Tree (Liriodendron tulipifera)",12," N/A","No"
2001,"X","Bredell Ave","Median","W Bruno Ave",236,869991.621068518,1015603.0074065,38.6226388394,-90.3257444669,"Tulip Tree (Liriodendron tulipifera)",18," N/A","No"
2001,"X","Bredell Ave","Median","Bredell Ave",248,869971.911022704,1015564.85203563,38.6225341706,-90.3258137107,"Lilac, Japanese Tree (Syringa reticulata)",1," N/A","Yes"
2001,"X","Bredell Ave","Median","Bredell Ave",252,869969.804646484,1015541.72026004,38.6224706637,-90.3258212372,"Cypress, Bald (Taxodium distichum)",7," N/A","Yes"
2001,"","Bredell Ave","Side","W Bruno Ave",35,869911.833348993,1015603.48597514,38.6226405691,-90.326023742,"Plum (Prunus species)",2," N/A","No"
2001,"","Bredell Ave","Side","W Bruno Ave",42,869921.540686115,1015604.96958282,38.6226445924,-90.3259897539,"Maple, Red (Acer rubrum)",2," N/A","No"
2001,"","Bredell Ave","Side","Lindbergh Dr",52,869927.74373983,1015592.3805572,38.6226099917,-90.3259681251,"Maple, Red (Acer rubrum)",2," N/A","No"
2015,"","Bredell Ave","Front","Bredell Ave",256,869925.282585222,1015445.05840233,38.6222054701,-90.3259777174,"Oak, Pin (Quercus palustris)",48," N/A","No"
2015,"","Bredell Ave","Front","Bredell Ave",261,869907.587192734,1015323.0960579,38.6218706638,-90.3260404646,"Elm, Siberian (Ulmus pumila)",18," N/A","No"
2015,"","Bredell Ave","Front","Bredell Ave",266,869903.166294754,1015291.03309261,38.6217826445,-90.3260561515,"Ash, Green (Fraxinus pennsylvanica)",46," N/A","No"
2018,"X","Bredell Ave","Median","Bredell Ave",240,870001.552105376,1015582.03997454,38.6225812128,-90.3257098449,"Tulip Tree (Liriodendron tulipifera)",18," N/A","No"
